npu,crime_type,occur_year,occur_month,occur_count
A,BURGLARY-RESIDENCE,2014,February,2
A,BURGLARY-RESIDENCE,2014,January,5
A,BURGLARY-RESIDENCE,2014,July,4
A,BURGLARY-RESIDENCE,2014,March,5
A,BURGLARY-RESIDENCE,2014,May,3
A,BURGLARY-RESIDENCE,2014,November,3
A,BURGLARY-RESIDENCE,2014,October,4
A,BURGLARY-RESIDENCE,2014,September,7
A,BURGLARY-RESIDENCE,2015,April,4
A,BURGLARY-RESIDENCE,2015,August,1
A,BURGLARY-RESIDENCE,2015,December,10
A,BURGLARY-RESIDENCE,2015,February,6
A,BURGLARY-RESIDENCE,2015,January,2
A,BURGLARY-RESIDENCE,2015,June,2
A,BURGLARY-RESIDENCE,2015,March,3
A,BURGLARY-RESIDENCE,2015,May,2
A,BURGLARY-RESIDENCE,2015,November,6
A,BURGLARY-RESIDENCE,2015,October,3
A,BURGLARY-RESIDENCE,2015,September,2
A,BURGLARY-RESIDENCE,2016,April,2
A,BURGLARY-RESIDENCE,2016,August,3
A,BURGLARY-RESIDENCE,2016,December,2
A,BURGLARY-RESIDENCE,2016,February,2
A,BURGLARY-RESIDENCE,2016,January,7
A,BURGLARY-RESIDENCE,2016,July,7
A,BURGLARY-RESIDENCE,2016,June,5
A,BURGLARY-RESIDENCE,2016,March,5
A,BURGLARY-RESIDENCE,2016,May,1
A,BURGLARY-RESIDENCE,2016,November,7
A,BURGLARY-RESIDENCE,2016,October,6
A,BURGLARY-RESIDENCE,2016,September,5
A,BURGLARY-RESIDENCE,2017,August,1
A,BURGLARY-RESIDENCE,2017,December,4
A,BURGLARY-RESIDENCE,2017,February,2
A,BURGLARY-RESIDENCE,2017,January,8
A,BURGLARY-RESIDENCE,2017,July,2
A,BURGLARY-RESIDENCE,2017,May,4
A,BURGLARY-RESIDENCE,2017,November,1
A,BURGLARY-RESIDENCE,2017,September,2
A,BURGLARY-RESIDENCE,2018,April,1
A,BURGLARY-RESIDENCE,2018,August,2
A,BURGLARY-RESIDENCE,2018,December,3
A,BURGLARY-RESIDENCE,2018,January,1
A,BURGLARY-RESIDENCE,2018,March,2
A,BURGLARY-RESIDENCE,2018,May,1
A,BURGLARY-RESIDENCE,2018,November,5
A,BURGLARY-RESIDENCE,2018,September,1
A,BURGLARY-RESIDENCE,2019,April,2
A,BURGLARY-RESIDENCE,2019,August,2
A,BURGLARY-RESIDENCE,2019,February,3
A,BURGLARY-RESIDENCE,2019,January,7
A,BURGLARY-RESIDENCE,2019,July,3
A,BURGLARY-RESIDENCE,2019,June,4
A,BURGLARY-RESIDENCE,2019,May,1
A,BURGLARY-RESIDENCE,2019,September,1
A,HOMICIDE,2018,December,1
A,LARCENY-FROM VEHICLE,2009,April,10
A,LARCENY-FROM VEHICLE,2009,August,11
A,LARCENY-FROM VEHICLE,2009,December,13
A,LARCENY-FROM VEHICLE,2009,February,5
A,LARCENY-FROM VEHICLE,2009,January,12
A,LARCENY-FROM VEHICLE,2009,July,14
A,LARCENY-FROM VEHICLE,2009,June,16
A,LARCENY-FROM VEHICLE,2009,March,8
A,LARCENY-FROM VEHICLE,2009,May,11
A,LARCENY-FROM VEHICLE,2009,November,9
A,LARCENY-FROM VEHICLE,2009,October,14
A,LARCENY-FROM VEHICLE,2009,September,17
A,LARCENY-FROM VEHICLE,2010,April,13
A,LARCENY-FROM VEHICLE,2010,August,7
A,LARCENY-FROM VEHICLE,2010,December,10
A,LARCENY-FROM VEHICLE,2010,February,1
A,LARCENY-FROM VEHICLE,2010,January,5
A,LARCENY-FROM VEHICLE,2010,July,9
A,LARCENY-FROM VEHICLE,2010,June,11
A,LARCENY-FROM VEHICLE,2010,March,3
A,LARCENY-FROM VEHICLE,2010,May,7
A,LARCENY-FROM VEHICLE,2010,November,10
A,LARCENY-FROM VEHICLE,2010,October,6
A,LARCENY-FROM VEHICLE,2010,September,4
A,LARCENY-FROM VEHICLE,2011,April,9
A,LARCENY-FROM VEHICLE,2011,August,15
A,LARCENY-FROM VEHICLE,2011,December,8
A,LARCENY-FROM VEHICLE,2011,February,4
A,LARCENY-FROM VEHICLE,2011,January,1
A,LARCENY-FROM VEHICLE,2011,July,11
A,LARCENY-FROM VEHICLE,2011,June,7
A,LARCENY-FROM VEHICLE,2011,March,4
A,LARCENY-FROM VEHICLE,2011,May,6
A,LARCENY-FROM VEHICLE,2011,November,5
A,LARCENY-FROM VEHICLE,2011,October,7
A,LARCENY-FROM VEHICLE,2011,September,11
A,LARCENY-FROM VEHICLE,2012,April,15
A,LARCENY-FROM VEHICLE,2012,August,18
A,LARCENY-FROM VEHICLE,2012,December,15
A,LARCENY-FROM VEHICLE,2012,February,11
A,LARCENY-FROM VEHICLE,2012,January,8
A,LARCENY-FROM VEHICLE,2012,July,7
A,LARCENY-FROM VEHICLE,2012,June,16
A,LARCENY-FROM VEHICLE,2012,March,2
A,LARCENY-FROM VEHICLE,2012,May,11
A,LARCENY-FROM VEHICLE,2012,November,19
A,LARCENY-FROM VEHICLE,2012,October,17
A,LARCENY-FROM VEHICLE,2012,September,9
A,LARCENY-FROM VEHICLE,2013,April,18
A,LARCENY-FROM VEHICLE,2013,August,19
A,LARCENY-FROM VEHICLE,2013,December,12
A,LARCENY-FROM VEHICLE,2013,February,11
A,LARCENY-FROM VEHICLE,2013,January,15
A,LARCENY-FROM VEHICLE,2013,July,15
A,LARCENY-FROM VEHICLE,2013,June,10
A,LARCENY-FROM VEHICLE,2013,March,26
A,LARCENY-FROM VEHICLE,2013,May,12
A,LARCENY-FROM VEHICLE,2013,November,11
A,LARCENY-FROM VEHICLE,2013,October,14
A,LARCENY-FROM VEHICLE,2013,September,17
A,LARCENY-FROM VEHICLE,2014,April,7
A,LARCENY-FROM VEHICLE,2014,August,5
A,LARCENY-FROM VEHICLE,2014,December,8
A,LARCENY-FROM VEHICLE,2014,February,6
A,LARCENY-FROM VEHICLE,2014,January,7
A,LARCENY-FROM VEHICLE,2014,July,4
A,LARCENY-FROM VEHICLE,2014,June,12
A,LARCENY-FROM VEHICLE,2014,March,14
A,LARCENY-FROM VEHICLE,2014,May,6
A,LARCENY-FROM VEHICLE,2014,November,8
A,LARCENY-FROM VEHICLE,2014,October,16
A,LARCENY-FROM VEHICLE,2014,September,6
A,LARCENY-FROM VEHICLE,2015,April,5
A,LARCENY-FROM VEHICLE,2015,August,5
A,LARCENY-FROM VEHICLE,2015,December,2
A,LARCENY-FROM VEHICLE,2015,February,5
A,LARCENY-FROM VEHICLE,2015,January,9
A,LARCENY-FROM VEHICLE,2015,July,7
A,LARCENY-FROM VEHICLE,2015,June,14
A,LARCENY-FROM VEHICLE,2015,May,5
A,LARCENY-FROM VEHICLE,2015,November,14
A,LARCENY-FROM VEHICLE,2015,October,6
A,LARCENY-FROM VEHICLE,2015,September,7
A,LARCENY-FROM VEHICLE,2016,April,15
A,LARCENY-FROM VEHICLE,2016,August,7
A,LARCENY-FROM VEHICLE,2016,December,9
A,LARCENY-FROM VEHICLE,2016,February,15
A,LARCENY-FROM VEHICLE,2016,January,8
A,LARCENY-FROM VEHICLE,2016,July,9
A,LARCENY-FROM VEHICLE,2016,June,8
A,LARCENY-FROM VEHICLE,2016,March,17
A,LARCENY-FROM VEHICLE,2016,May,18
A,LARCENY-FROM VEHICLE,2016,November,10
A,LARCENY-FROM VEHICLE,2016,October,7
A,LARCENY-FROM VEHICLE,2016,September,6
A,LARCENY-FROM VEHICLE,2017,April,4
A,LARCENY-FROM VEHICLE,2017,August,10
A,LARCENY-FROM VEHICLE,2017,December,10
A,LARCENY-FROM VEHICLE,2017,February,7
A,LARCENY-FROM VEHICLE,2017,January,5
A,LARCENY-FROM VEHICLE,2017,July,9
A,LARCENY-FROM VEHICLE,2017,June,7
A,LARCENY-FROM VEHICLE,2017,March,5
A,LARCENY-FROM VEHICLE,2017,May,6
A,LARCENY-FROM VEHICLE,2017,November,6
A,LARCENY-FROM VEHICLE,2017,October,11
A,LARCENY-FROM VEHICLE,2017,September,15
A,LARCENY-FROM VEHICLE,2018,April,8
A,LARCENY-FROM VEHICLE,2018,August,11
A,LARCENY-FROM VEHICLE,2018,December,11
A,LARCENY-FROM VEHICLE,2018,February,4
A,LARCENY-FROM VEHICLE,2018,January,8
A,LARCENY-FROM VEHICLE,2018,July,3
A,LARCENY-FROM VEHICLE,2018,June,6
A,LARCENY-FROM VEHICLE,2018,March,10
A,LARCENY-FROM VEHICLE,2018,May,10
A,LARCENY-FROM VEHICLE,2018,November,13
A,LARCENY-FROM VEHICLE,2018,October,9
A,LARCENY-FROM VEHICLE,2018,September,14
A,LARCENY-FROM VEHICLE,2019,April,6
A,LARCENY-FROM VEHICLE,2019,August,7
A,LARCENY-FROM VEHICLE,2019,December,8
A,LARCENY-FROM VEHICLE,2019,February,6
A,LARCENY-FROM VEHICLE,2019,January,17
A,LARCENY-FROM VEHICLE,2019,July,12
A,LARCENY-FROM VEHICLE,2019,June,5
A,LARCENY-FROM VEHICLE,2019,March,7
A,LARCENY-FROM VEHICLE,2019,May,8
A,LARCENY-FROM VEHICLE,2019,November,7
A,LARCENY-FROM VEHICLE,2019,October,4
A,LARCENY-FROM VEHICLE,2019,September,4
A,LARCENY-FROM VEHICLE,2020,April,9
A,LARCENY-FROM VEHICLE,2020,August,12
A,LARCENY-FROM VEHICLE,2020,December,26
A,LARCENY-FROM VEHICLE,2020,February,10
A,LARCENY-FROM VEHICLE,2020,January,8
A,LARCENY-FROM VEHICLE,2020,July,12
A,LARCENY-FROM VEHICLE,2020,June,3
A,LARCENY-FROM VEHICLE,2020,March,13
A,LARCENY-FROM VEHICLE,2020,May,6
A,LARCENY-FROM VEHICLE,2020,November,14
A,LARCENY-FROM VEHICLE,2020,October,7
A,LARCENY-FROM VEHICLE,2020,September,15
A,LARCENY-FROM VEHICLE,2021,April,15
A,LARCENY-FROM VEHICLE,2021,August,6
A,LARCENY-FROM VEHICLE,2021,December,7
A,LARCENY-FROM VEHICLE,2021,February,8
A,LARCENY-FROM VEHICLE,2021,January,13
A,LARCENY-FROM VEHICLE,2021,July,6
A,LARCENY-FROM VEHICLE,2021,June,3
A,LARCENY-FROM VEHICLE,2021,March,9
A,LARCENY-FROM VEHICLE,2021,May,5
A,LARCENY-FROM VEHICLE,2021,November,1
A,LARCENY-FROM VEHICLE,2021,October,7
A,LARCENY-FROM VEHICLE,2021,September,3
A,LARCENY-FROM VEHICLE,2022,February,5
A,LARCENY-FROM VEHICLE,2022,January,5
A,LARCENY-FROM VEHICLE,2022,March,7
A,LARCENY-NON VEHICLE,2009,April,5
A,LARCENY-NON VEHICLE,2009,August,5
A,LARCENY-NON VEHICLE,2009,December,8
A,LARCENY-NON VEHICLE,2009,February,3
A,LARCENY-NON VEHICLE,2009,January,4
A,LARCENY-NON VEHICLE,2009,July,3
A,LARCENY-NON VEHICLE,2009,June,7
A,LARCENY-NON VEHICLE,2009,March,3
A,LARCENY-NON VEHICLE,2009,May,5
A,LARCENY-NON VEHICLE,2009,November,6
A,LARCENY-NON VEHICLE,2009,October,4
A,LARCENY-NON VEHICLE,2009,September,3
A,LARCENY-NON VEHICLE,2010,April,6
A,LARCENY-NON VEHICLE,2010,August,5
A,LARCENY-NON VEHICLE,2010,December,4
A,LARCENY-NON VEHICLE,2010,February,6
A,LARCENY-NON VEHICLE,2010,January,4
A,LARCENY-NON VEHICLE,2010,July,8
A,LARCENY-NON VEHICLE,2010,June,4
A,LARCENY-NON VEHICLE,2010,March,5
A,LARCENY-NON VEHICLE,2010,May,7
A,LARCENY-NON VEHICLE,2010,November,3
A,LARCENY-NON VEHICLE,2010,October,3
A,LARCENY-NON VEHICLE,2010,September,7
A,LARCENY-NON VEHICLE,2011,April,6
A,LARCENY-NON VEHICLE,2011,August,6
A,LARCENY-NON VEHICLE,2011,December,6
A,LARCENY-NON VEHICLE,2011,February,3
A,LARCENY-NON VEHICLE,2011,January,5
A,LARCENY-NON VEHICLE,2011,July,4
A,LARCENY-NON VEHICLE,2011,June,7
A,LARCENY-NON VEHICLE,2011,March,3
A,LARCENY-NON VEHICLE,2011,May,2
A,LARCENY-NON VEHICLE,2011,November,5
A,LARCENY-NON VEHICLE,2011,October,8
A,LARCENY-NON VEHICLE,2011,September,3
A,LARCENY-NON VEHICLE,2012,April,2
A,LARCENY-NON VEHICLE,2012,August,5
A,LARCENY-NON VEHICLE,2012,December,4
A,LARCENY-NON VEHICLE,2012,February,5
A,LARCENY-NON VEHICLE,2012,January,7
A,LARCENY-NON VEHICLE,2012,July,2
A,LARCENY-NON VEHICLE,2012,June,5
A,LARCENY-NON VEHICLE,2012,March,2
A,LARCENY-NON VEHICLE,2012,May,4
A,LARCENY-NON VEHICLE,2012,November,5
A,LARCENY-NON VEHICLE,2012,October,4
A,LARCENY-NON VEHICLE,2012,September,6
A,LARCENY-NON VEHICLE,2013,April,4
A,LARCENY-NON VEHICLE,2013,August,8
A,LARCENY-NON VEHICLE,2013,December,5
A,LARCENY-NON VEHICLE,2013,February,3
A,LARCENY-NON VEHICLE,2013,January,4
A,LARCENY-NON VEHICLE,2013,July,5
A,LARCENY-NON VEHICLE,2013,June,5
A,LARCENY-NON VEHICLE,2013,March,8
A,LARCENY-NON VEHICLE,2013,May,3
A,LARCENY-NON VEHICLE,2013,November,1
A,LARCENY-NON VEHICLE,2013,October,1
A,LARCENY-NON VEHICLE,2013,September,7
A,LARCENY-NON VEHICLE,2014,April,7
A,LARCENY-NON VEHICLE,2014,August,9
A,LARCENY-NON VEHICLE,2014,December,6
A,LARCENY-NON VEHICLE,2014,February,2
A,LARCENY-NON VEHICLE,2014,January,4
A,LARCENY-NON VEHICLE,2014,July,6
A,LARCENY-NON VEHICLE,2014,June,5
A,LARCENY-NON VEHICLE,2014,March,6
A,LARCENY-NON VEHICLE,2014,May,7
A,LARCENY-NON VEHICLE,2014,November,6
A,LARCENY-NON VEHICLE,2014,October,3
A,LARCENY-NON VEHICLE,2014,September,6
A,LARCENY-NON VEHICLE,2015,April,5
A,LARCENY-NON VEHICLE,2015,August,7
A,LARCENY-NON VEHICLE,2015,December,4
A,LARCENY-NON VEHICLE,2015,February,1
A,LARCENY-NON VEHICLE,2015,January,9
A,LARCENY-NON VEHICLE,2015,July,7
A,LARCENY-NON VEHICLE,2015,June,6
A,LARCENY-NON VEHICLE,2015,March,2
A,LARCENY-NON VEHICLE,2015,May,5
A,LARCENY-NON VEHICLE,2015,November,10
A,LARCENY-NON VEHICLE,2015,October,9
A,LARCENY-NON VEHICLE,2015,September,4
A,LARCENY-NON VEHICLE,2016,April,2
A,LARCENY-NON VEHICLE,2016,August,5
A,LARCENY-NON VEHICLE,2016,December,4
A,LARCENY-NON VEHICLE,2016,February,5
A,LARCENY-NON VEHICLE,2016,January,2
A,LARCENY-NON VEHICLE,2016,July,3
A,LARCENY-NON VEHICLE,2016,June,3
A,LARCENY-NON VEHICLE,2016,March,7
A,LARCENY-NON VEHICLE,2016,May,5
A,LARCENY-NON VEHICLE,2016,November,5
A,LARCENY-NON VEHICLE,2016,October,1
A,LARCENY-NON VEHICLE,2016,September,4
A,LARCENY-NON VEHICLE,2017,April,4
A,LARCENY-NON VEHICLE,2017,August,3
A,LARCENY-NON VEHICLE,2017,December,4
A,LARCENY-NON VEHICLE,2017,February,1
