neighborhood,occur_year,occur_count
Brentwood,2013,3
Brentwood,2014,10
Brentwood,2015,2
Brentwood,2016,10
Brentwood,2017,7
Brentwood,2018,3
Brentwood,2019,7
Brentwood,2020,3
Brentwood,2021,5
Briar Glen,2009,10
Briar Glen,2010,11
Briar Glen,2011,13
Briar Glen,2012,9
Briar Glen,2013,17
Briar Glen,2014,8
Briar Glen,2015,12
Briar Glen,2016,13
Briar Glen,2017,8
Briar Glen,2018,4
Briar Glen,2019,11
Briar Glen,2020,2
Briar Glen,2021,4
Briar Glen,2022,2
Brookhaven,2009,22
Brookhaven,2010,32
Brookhaven,2011,18
Brookhaven,2012,29
Brookhaven,2013,19
Brookhaven,2014,22
Brookhaven,2015,31
Brookhaven,2016,31
Brookhaven,2017,14
Brookhaven,2018,20
Brookhaven,2019,9
Brookhaven,2020,11
Brookhaven,2021,11
Brookhaven,2022,5
Brookview Heights,2009,100
Brookview Heights,2010,79
Brookview Heights,2011,37
Brookview Heights,2012,45
Brookview Heights,2013,46
Brookview Heights,2014,37
Brookview Heights,2015,31
Brookview Heights,2016,33
Brookview Heights,2017,39
Brookview Heights,2018,46
Brookview Heights,2019,35
Brookview Heights,2020,34
Brookview Heights,2021,45
Brookview Heights,2022,22
Brookwood,2009,81
Brookwood,2010,84
Brookwood,2011,69
Brookwood,2012,53
Brookwood,2013,51
Brookwood,2014,48
Brookwood,2015,38
Brookwood,2016,53
Brookwood,2017,35
Brookwood,2018,22
Brookwood,2019,37
Brookwood,2020,27
Brookwood,2021,22
Brookwood,2022,4
Brookwood Hills,2009,48
Brookwood Hills,2010,54
Brookwood Hills,2011,50
Brookwood Hills,2012,55
Brookwood Hills,2013,44
Brookwood Hills,2014,61
Brookwood Hills,2015,48
Brookwood Hills,2016,26
Brookwood Hills,2017,53
Brookwood Hills,2018,55
Brookwood Hills,2019,33
Brookwood Hills,2020,37
Brookwood Hills,2021,17
Brookwood Hills,2022,5
Browns Mill Park,2009,223
Browns Mill Park,2010,186
Browns Mill Park,2011,211
Browns Mill Park,2012,176
Browns Mill Park,2013,178
Browns Mill Park,2014,167
Browns Mill Park,2015,145
Browns Mill Park,2016,160
Browns Mill Park,2017,142
Browns Mill Park,2018,108
Browns Mill Park,2019,107
Browns Mill Park,2020,104
Browns Mill Park,2021,86
Browns Mill Park,2022,15
Buckhead Forest,2009,188
Buckhead Forest,2010,175
Buckhead Forest,2011,155
Buckhead Forest,2012,197
Buckhead Forest,2013,213
Buckhead Forest,2014,180
Buckhead Forest,2015,213
Buckhead Forest,2016,205
Buckhead Forest,2017,172
Buckhead Forest,2018,208
Buckhead Forest,2019,169
Buckhead Forest,2020,160
Buckhead Forest,2021,169
Buckhead Forest,2022,21
Buckhead Heights,2009,30
Buckhead Heights,2010,56
Buckhead Heights,2011,23
Buckhead Heights,2012,34
Buckhead Heights,2013,30
Buckhead Heights,2014,30
Buckhead Heights,2015,35
Buckhead Heights,2016,28
Buckhead Heights,2017,38
Buckhead Heights,2018,47
Buckhead Heights,2019,52
Buckhead Heights,2020,54
Buckhead Heights,2021,47
Buckhead Heights,2022,15
Buckhead Village,2009,139
Buckhead Village,2010,165
Buckhead Village,2011,113
Buckhead Village,2012,121
Buckhead Village,2013,126
Buckhead Village,2014,109
Buckhead Village,2015,121
Buckhead Village,2016,125
Buckhead Village,2017,190
Buckhead Village,2018,255
Buckhead Village,2019,213
Buckhead Village,2020,292
Buckhead Village,2021,187
Buckhead Village,2022,45
Bush Mountain,2009,27
